Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
674;2025-10-31;12;10;3;1;3;1;7;43;97;71;23;17;58;43;39;54;46;96;82;75;43;30;42;23;919;;5;674 - Pont Haudaudine vers Sud;2025-10-31;Vacances de la Toussaint
675;2025-10-31;18;3;0;1;4;4;10;23;65;36;20;28;45;55;43;40;44;84;0;0;0;4;26;28;581;;5;675 - Pont Haudaudine vers Nord;2025-10-31;Vacances de la Toussaint
997;2025-10-31;1;0;0;0;0;2;5;22;72;37;21;11;16;14;18;29;38;54;36;22;18;5;5;1;427;;5;997 - Van Iseghem vers Sud;2025-10-31;Vacances de la Toussaint
680;2025-10-31;4;7;11;5;7;5;21;45;101;67;35;49;49;58;45;57;72;64;58;67;48;32;22;22;951;;5;680 - Stalingrad vers ouest;2025-10-31;Vacances de la Toussaint
745;2025-10-31;4;0;1;1;0;0;0;5;2;3;1;3;6;7;3;6;4;24;13;8;8;3;4;2;108;;5;745 - Calvaire vers Ouest;2025-10-31;Vacances de la Toussaint
746;2025-10-31;0;0;0;0;0;0;5;25;60;31;18;15;26;22;12;30;44;87;46;21;13;3;3;2;463;;5;746 - Chemin de halage Tortière vers Sud;2025-10-31;Vacances de la Toussaint
847;2025-10-31;41;19;15;13;8;12;17;57;161;91;22;61;103;98;97;110;140;246;199;151;93;82;80;86;2002;;5;847 - Entrée pont Audibert vers Sud;2025-10-31;Vacances de la Toussaint
880;2025-10-31;30;13;8;12;7;7;22;66;173;71;25;47;66;84;64;65;100;148;160;102;42;57;50;55;1474;;5;880 - Madeleine vers Nord;2025-10-31;Vacances de la Toussaint
944;2025-10-31;0;0;0;0;0;0;1;5;27;14;7;3;12;6;5;8;20;27;18;9;4;6;2;3;177;;5;944 - Magellan vers Est;2025-10-31;Vacances de la Toussaint
947;2025-10-31;0;0;0;1;0;1;0;15;40;19;4;3;16;13;6;13;18;35;9;5;3;6;0;2;209;;5;947 - Bd Malakoff vers Ouest;2025-10-31;Vacances de la Toussaint
960;2025-10-31;0;0;0;0;0;0;0;7;1;1;0;2;1;5;3;4;14;13;4;1;1;1;0;1;59;;5;960 - Sorinières Vers Nord;2025-10-31;Vacances de la Toussaint
986;2025-10-31;2;1;0;0;0;0;2;9;52;24;19;15;20;12;14;9;14;22;18;14;20;5;2;4;278;;5;986 - Tremie vers Ouest;2025-10-31;Vacances de la Toussaint
682;2025-10-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;5;682 - pont Anne de Bretagne vers Sud;2025-10-31;Vacances de la Toussaint
664;2025-10-31;24;11;4;1;2;3;5;28;97;65;16;23;48;55;39;47;48;142;97;54;42;39;26;22;938;;5;664 - Bonduelle vers sud;2025-10-31;Vacances de la Toussaint
881;2025-10-31;18;7;3;3;2;5;21;57;139;107;55;61;119;87;75;91;126;189;155;106;81;54;30;21;1612;;5;881 - Madeleine vers Sud;2025-10-31;Vacances de la Toussaint
943;2025-10-31;0;0;0;0;0;0;1;2;10;5;1;3;6;2;8;5;8;20;10;12;7;1;2;2;105;;5;943 - Magellan vers Ouest;2025-10-31;Vacances de la Toussaint
673;2025-10-31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;5;673 - Pont de Pornic vers Sud;2025-10-31;Vacances de la Toussaint
744;2025-10-31;8;2;0;1;4;1;3;27;64;45;25;33;66;58;50;41;52;70;71;49;55;26;18;18;787;;5;744 - Calvaire vers Est;2025-10-31;Vacances de la Toussaint
785;2025-10-31;33;11;7;9;10;8;28;139;311;176;86;84;130;139;137;117;156;220;234;185;127;91;72;60;2570;;5;785 - 50 Otages Vers Sud;2025-10-31;Vacances de la Toussaint
948;2025-10-31;1;1;1;0;0;0;2;9;20;11;7;9;17;20;14;15;26;41;25;8;10;3;2;0;242;;5;948 - Bd Malakoff vers Est;2025-10-31;Vacances de la Toussaint
987;2025-10-31;9;1;2;0;0;1;1;4;21;15;4;14;10;23;20;15;18;33;28;19;7;6;17;7;275;;5;987 - Tremie vers Est;2025-10-31;Vacances de la Toussaint
995;2025-10-31;5;0;0;0;3;3;10;35;126;81;31;23;39;45;46;42;70;107;59;57;31;12;5;15;845;;5;995 - Ceineray vers Ouest;2025-10-31;Vacances de la Toussaint
668;2025-10-31;19;8;3;3;0;3;1;13;55;17;9;11;37;44;30;33;40;128;61;42;28;13;19;14;631;;5;668 - De Gaulle vers sud;2025-10-31;Vacances de la Toussaint
742;2025-10-31;26;9;7;5;5;9;14;52;140;78;38;44;81;61;56;66;64;113;116;77;53;28;43;39;1224;;5;742 - Philippot vers Est;2025-10-31;Vacances de la Toussaint
747;2025-10-31;6;3;3;0;1;0;5;29;68;34;13;13;19;25;21;19;42;56;51;15;8;7;6;12;456;;5;747 - Chemin de halage Tortière vers Nord;2025-10-31;Vacances de la Toussaint
786;2025-10-31;40;25;13;13;3;7;22;50;153;114;75;94;163;127;106;125;160;282;251;158;129;74;42;73;2299;;5;786 - 50 Otages Vers Nord;2025-10-31;Vacances de la Toussaint
890;2025-10-31;48;22;13;11;8;12;40;108;281;168;71;69;112;105;105;132;188;248;239;168;100;60;58;47;2413;;5;890 - Pont de Pirmil vers Sud;2025-10-31;Vacances de la Toussaint
950;2025-10-31;0;2;3;0;2;2;10;40;100;53;29;27;33;24;34;37;26;64;38;41;17;13;6;9;610;;5;950 - avenue de la Libération vers Nord;2025-10-31;Vacances de la Toussaint
977;2025-10-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;5;977 - pont des 3 Continents vers Nord;2025-10-31;Vacances de la Toussaint
725;2025-10-31;6;4;1;2;1;1;5;15;52;22;5;8;20;30;21;21;32;49;39;31;22;8;13;8;416;;5;725 - Pont Tabarly vers Sud;2025-10-31;Vacances de la Toussaint
672;2025-10-31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;5;672 - Pont de Pornic vers Nord;2025-10-31;Vacances de la Toussaint
672;2025-10-31;4;2;1;1;2;2;3;61;169;73;31;34;39;42;38;49;58;96;78;72;26;13;11;9;914;;5;672 - Pont de Pornic vers Nord;2025-10-31;Vacances de la Toussaint
996;2025-10-31;7;2;4;1;1;0;6;20;47;21;7;9;25;20;24;26;30;56;30;15;18;9;13;19;410;;5;996 - Van Iseghem vers Nord;2025-10-31;Vacances de la Toussaint
672;2025-10-31;0;1;1;1;1;2;2;50;160;65;25;25;36;30;30;39;46;66;58;57;20;7;7;3;732;;5;672 - Pont de Pornic vers Nord;2025-10-31;Vacances de la Toussaint
677;2025-10-31;3;1;0;0;1;1;5;27;81;33;5;12;23;28;16;23;36;46;42;14;25;8;9;4;443;;5;677 - Pont Willy Brandt vers Malakoff;2025-10-31;Vacances de la Toussaint
787;2025-10-31;16;5;4;2;11;5;19;76;247;120;66;61;83;81;85;88;98;150;167;137;99;50;36;33;1739;;5;787 - 50 Otages Vers Sud;2025-10-31;Vacances de la Toussaint
788;2025-10-31;40;19;9;13;3;4;8;39;78;61;47;45;116;84;69;80;138;218;207;104;76;57;50;70;1635;;5;788 - 50 Otages Vers Nord;2025-10-31;Vacances de la Toussaint
959;2025-10-31;0;0;0;1;3;3;6;9;12;3;4;2;5;4;5;3;4;7;10;4;3;3;2;0;93;;5;959 - Sorinières Vers Sud;2025-10-31;Vacances de la Toussaint
979;2025-10-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;5;979 - pont des 3 Continents vers Sud;2025-10-31;Vacances de la Toussaint
988;2025-10-31;4;2;0;0;1;1;11;73;171;103;27;32;33;58;32;43;32;84;96;70;37;17;12;2;941;;5;988 - Kennedy vers Est;2025-10-31;Vacances de la Toussaint
989;2025-10-31;23;12;3;2;5;5;27;77;55;28;26;22;63;66;58;54;114;203;148;81;50;32;41;38;1233;;5;989 - Kennedy vers Ouest;2025-10-31;Vacances de la Toussaint
950;2025-10-30;2;1;5;1;8;6;14;47;165;51;33;29;35;42;21;27;43;67;66;40;17;11;5;6;742;;4;950 - avenue de la Libération vers Nord;2025-10-30;Vacances de la Toussaint
980;2025-10-30;0;0;0;0;0;1;0;2;2;0;0;0;4;1;3;1;5;7;2;2;1;0;0;1;32;;4;980 - Pont Tabarly vers Sud;2025-10-30;Vacances de la Toussaint
987;2025-10-30;5;2;0;0;1;1;2;6;31;17;4;7;15;19;12;13;16;33;56;14;8;7;9;8;286;;4;987 - Tremie vers Est;2025-10-30;Vacances de la Toussaint
683;2025-10-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;4;683 - pont Anne de Bretagne vers Nord;2025-10-30;Vacances de la Toussaint
664;2025-10-30;9;3;3;2;0;2;10;48;164;75;31;29;47;49;49;39;68;146;150;95;47;35;42;40;1183;;4;664 - Bonduelle vers sud;2025-10-30;Vacances de la Toussaint
677;2025-10-30;2;1;0;0;1;1;6;44;123;67;14;20;32;40;14;18;33;69;78;36;28;5;7;15;654;;4;677 - Pont Willy Brandt vers Malakoff;2025-10-30;Vacances de la Toussaint
679;2025-10-30;1;0;0;0;0;0;0;0;12;8;9;5;8;4;7;3;18;12;15;8;6;5;3;0;124;;4;679 - Bd Malakoff vers Gare Sud;2025-10-30;Vacances de la Toussaint
667;2025-10-30;15;1;5;9;3;14;44;109;415;238;107;85;176;144;102;95;121;264;274;164;82;47;25;44;2583;;4;667 - Entrée pont Audibert vers Nord;2025-10-30;Vacances de la Toussaint
787;2025-10-30;9;11;1;1;4;6;22;80;344;175;69;69;98;98;69;80;102;151;181;130;68;40;40;29;1877;;4;787 - 50 Otages Vers Sud;2025-10-30;Vacances de la Toussaint
948;2025-10-30;2;1;0;0;0;0;1;10;29;30;13;15;13;15;19;18;27;39;63;17;10;2;7;4;335;;4;948 - Bd Malakoff vers Est;2025-10-30;Vacances de la Toussaint
994;2025-10-30;6;3;1;0;0;2;5;12;74;23;16;21;39;21;27;22;39;89;129;60;25;17;30;27;688;;4;994 - Ceineray vers Est;2025-10-30;Vacances de la Toussaint
786;2025-10-30;38;13;7;3;2;12;21;63;227;131;82;90;190;115;111;113;179;361;440;213;108;75;76;63;2733;;4;786 - 50 Otages Vers Nord;2025-10-30;Vacances de la Toussaint
959;2025-10-30;0;1;1;1;3;6;5;20;16;9;3;5;4;5;3;7;7;14;7;3;1;2;0;1;124;;4;959 - Sorinières Vers Sud;2025-10-30;Vacances de la Toussaint
960;2025-10-30;0;0;0;0;0;0;1;5;5;3;5;3;6;8;5;7;10;9;16;3;1;2;0;0;89;;4;960 - Sorinières Vers Nord;2025-10-30;Vacances de la Toussaint
979;2025-10-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;4;979 - pont des 3 Continents vers Sud;2025-10-30;Vacances de la Toussaint
986;2025-10-30;1;0;0;0;0;0;2;16;59;34;13;14;17;11;11;8;20;34;41;18;5;7;6;1;318;;4;986 - Tremie vers Ouest;2025-10-30;Vacances de la Toussaint
672;2025-10-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;4;672 - Pont de Pornic vers Nord;2025-10-30;Vacances de la Toussaint
673;2025-10-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;4;673 - Pont de Pornic vers Sud;2025-10-30;Vacances de la Toussaint
672;2025-10-30;1;3;1;1;1;5;9;69;245;108;36;33;52;52;45;32;52;104;100;74;23;12;12;18;1088;;4;672 - Pont de Pornic vers Nord;2025-10-30;Vacances de la Toussaint
669;2025-10-30;2;3;1;1;1;9;18;84;193;87;28;22;33;33;24;18;39;53;55;33;19;12;6;4;778;;4;669 - De Gaulle sortie Clémenceau vers Nord;2025-10-30;Vacances de la Toussaint
666;2025-10-30;2;4;1;0;0;0;0;5;10;7;3;4;11;10;9;12;19;34;38;10;11;10;4;4;208;;4;666 - Pont Audibert vers Sud;2025-10-30;Vacances de la Toussaint
665;2025-10-30;1;4;1;1;2;8;13;68;141;76;41;25;50;45;40;29;61;119;109;61;35;17;8;8;963;;4;665 - Bonduelle vers Nord;2025-10-30;Vacances de la Toussaint
680;2025-10-30;8;6;3;5;5;9;22;53;139;78;47;43;66;45;42;44;66;100;96;71;24;24;21;14;1031;;4;680 - Stalingrad vers ouest;2025-10-30;Vacances de la Toussaint
725;2025-10-30;4;1;1;0;2;1;7;28;91;43;12;16;28;30;17;17;32;95;82;37;21;6;8;6;585;;4;725 - Pont Tabarly vers Sud;2025-10-30;Vacances de la Toussaint
674;2025-10-30;15;9;4;1;4;1;6;38;138;101;22;31;74;69;41;31;59;80;138;71;39;39;27;21;1059;;4;674 - Pont Haudaudine vers Sud;2025-10-30;Vacances de la Toussaint
742;2025-10-30;13;5;2;2;4;9;28;84;193;114;38;51;95;76;54;51;84;216;191;127;63;21;46;41;1608;;4;742 - Philippot vers Est;2025-10-30;Vacances de la Toussaint
997;2025-10-30;4;0;0;0;0;1;3;39;106;42;12;16;25;19;20;18;30;70;74;30;10;3;5;1;528;;4;997 - Van Iseghem vers Sud;2025-10-30;Vacances de la Toussaint
672;2025-10-30;1;1;1;1;1;1;6;57;221;92;30;28;43;42;38;27;45;76;80;64;18;5;7;12;897;;4;672 - Pont de Pornic vers Nord;2025-10-30;Vacances de la Toussaint
743;2025-10-30;11;2;2;0;1;0;5;57;203;103;29;36;78;80;45;46;62;142;187;108;61;33;38;25;1354;;4;743 - Philippot vers ouest;2025-10-30;Vacances de la Toussaint
944;2025-10-30;4;0;0;0;0;0;2;7;30;17;5;7;5;12;7;7;17;32;26;21;6;5;2;3;215;;4;944 - Magellan vers Est;2025-10-30;Vacances de la Toussaint
988;2025-10-30;1;1;0;0;0;1;17;95;279;121;25;34;52;42;49;39;58;125;160;93;48;10;14;11;1275;;4;988 - Kennedy vers Est;2025-10-30;Vacances de la Toussaint
675;2025-10-30;0;0;0;0;0;0;0;0;7;0;1;45;68;60;39;43;54;136;113;83;45;26;31;17;768;;4;675 - Pont Haudaudine vers Nord;2025-10-30;Vacances de la Toussaint
670;2025-10-30;3;4;1;0;1;3;8;13;21;14;12;6;13;12;8;16;13;27;28;18;7;11;4;9;252;;4;670 - Pont de Pirmil vers Sud;2025-10-30;Vacances de la Toussaint
676;2025-10-30;4;0;1;1;1;0;5;38;109;71;15;12;32;34;14;14;39;92;115;39;32;10;13;9;700;;4;676 - Pont Willy Brandt vers Beaulieu;2025-10-30;Vacances de la Toussaint
880;2025-10-30;20;18;3;3;5;10;17;87;219;112;38;50;80;98;80;79;130;147;205;137;53;70;63;55;1779;;4;880 - Madeleine vers Nord;2025-10-30;Vacances de la Toussaint
890;2025-10-30;35;16;3;10;10;15;37;120;410;194;86;103;168;154;126;134;161;297;344;186;115;61;76;66;2927;;4;890 - Pont de Pirmil vers Sud;2025-10-30;Vacances de la Toussaint
943;2025-10-30;1;0;0;0;0;0;1;3;15;12;3;3;10;11;7;4;7;24;14;7;3;2;2;2;131;;4;943 - Magellan vers Ouest;2025-10-30;Vacances de la Toussaint
945;2025-10-30;4;4;0;1;0;3;6;27;67;49;23;30;41;55;39;32;40;106;118;68;54;33;33;27;860;;4;945 - Magellan vers Ouest;2025-10-30;Vacances de la Toussaint
977;2025-10-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;4;977 - pont des 3 Continents vers Nord;2025-10-30;Vacances de la Toussaint
981;2025-10-30;2;0;0;0;1;1;1;2;12;5;2;3;2;5;3;4;6;12;8;4;8;3;1;0;85;;4;981 - Pont Tabarly vers Nord;2025-10-30;Vacances de la Toussaint
989;2025-10-30;20;5;5;1;10;14;48;107;93;35;23;32;73;62;52;53;119;246;225;120;59;39;51;57;1549;;4;989 - Kennedy vers Ouest;2025-10-30;Vacances de la Toussaint
673;2025-10-30;7;6;2;2;1;7;9;50;95;41;15;22;39;34;29;26;56;154;168;75;21;23;32;22;936;;4;673 - Pont de Pornic vers Sud;2025-10-30;Vacances de la Toussaint
668;2025-10-30;2;1;4;2;0;2;3;13;69;27;19;18;44;31;34;30;61;136;139;83;31;24;25;20;818;;4;668 - De Gaulle vers sud;2025-10-30;Vacances de la Toussaint
785;2025-10-30;23;17;0;4;13;10;37;140;447;245;100;98;164;168;126;118;150;254;276;184;108;62;68;57;2869;;4;785 - 50 Otages Vers Sud;2025-10-30;Vacances de la Toussaint
996;2025-10-30;7;1;0;0;0;0;6;28;92;41;10;15;23;15;10;15;40;58;74;34;18;13;23;12;535;;4;996 - Van Iseghem vers Nord;2025-10-30;Vacances de la Toussaint
746;2025-10-30;1;0;0;0;0;1;5;33;100;46;13;25;24;20;15;22;43;103;72;32;9;2;2;1;569;;4;746 - Chemin de halage Tortière vers Sud;2025-10-30;Vacances de la Toussaint
681;2025-10-30;20;13;1;1;2;3;4;22;55;30;14;14;46;33;38;34;42;101;125;49;38;30;28;29;772;;4;681 - Stalingrad vers est;2025-10-30;Vacances de la Toussaint
788;2025-10-30;33;13;2;3;2;8;11;30;141;67;36;50;108;75;74;59;103;215;299;152;86;66;76;64;1773;;4;788 - 50 Otages Vers Nord;2025-10-30;Vacances de la Toussaint
847;2025-10-30;23;23;1;6;5;10;18;86;216;122;57;78;109;133;121;91;169;252;280;200;118;89;81;82;2370;;4;847 - Entrée pont Audibert vers Sud;2025-10-30;Vacances de la Toussaint
682;2025-10-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;4;682 - pont Anne de Bretagne vers Sud;2025-10-30;Vacances de la Toussaint
727;2025-10-30;1;2;0;0;2;4;8;49;107;35;15;18;35;31;15;13;28;64;66;25;16;9;3;2;548;;4;727 - Pont Tabarly vers Nord;2025-10-30;Vacances de la Toussaint
747;2025-10-30;7;2;0;0;0;0;6;33;120;57;22;14;28;16;11;21;35;65;82;36;13;12;8;5;593;;4;747 - Chemin de halage Tortière vers Nord;2025-10-30;Vacances de la Toussaint
744;2025-10-30;4;2;2;3;4;2;7;30;79;50;36;43;40;50;44;37;49;64;109;90;40;24;20;21;850;;4;744 - Calvaire vers Est;2025-10-30;Vacances de la Toussaint
745;2025-10-30;4;1;1;0;0;0;0;1;6;6;7;5;9;15;15;5;10;26;21;8;2;3;1;0;146;;4;745 - Calvaire vers Ouest;2025-10-30;Vacances de la Toussaint
673;2025-10-30;6;4;2;2;1;6;7;44;94;41;19;23;36;32;30;28;52;150;166;67;25;20;29;21;905;;4;673 - Pont de Pornic vers Sud;2025-10-30;Vacances de la Toussaint
881;2025-10-30;12;2;4;2;3;8;24;64;203;133;81;67;139;91;85;86;138;233;250;126;70;35;23;25;1904;;4;881 - Madeleine vers Sud;2025-10-30;Vacances de la Toussaint
946;2025-10-30;7;0;0;0;1;6;11;37;159;90;54;36;66;69;50;33;39;113;93;66;36;17;8;19;1010;;4;946 - Magellan vers Est;2025-10-30;Vacances de la Toussaint
947;2025-10-30;0;0;0;0;0;0;2;19;61;46;13;12;16;17;5;13;18;31;29;8;6;4;4;0;304;;4;947 - Bd Malakoff vers Ouest;2025-10-30;Vacances de la Toussaint
949;2025-10-30;1;1;10;1;5;5;1;19;27;21;17;16;21;20;11;13;23;41;53;26;9;7;7;5;360;;4;949 - avenue de la Libération vers Sud;2025-10-30;Vacances de la Toussaint
995;2025-10-30;5;0;0;1;4;5;13;47;225;116;45;28;46;42;34;30;63;101;90;60;25;12;11;7;1010;;4;995 - Ceineray vers Ouest;2025-10-30;Vacances de la Toussaint
847;2025-10-29;24;17;8;3;7;8;22;74;205;120;52;64;125;115;82;57;110;188;204;160;97;59;60;52;1913;;3;847 - Entrée pont Audibert vers Sud;2025-10-29;Vacances de la Toussaint
981;2025-10-29;1;1;0;0;1;0;1;3;7;5;4;1;3;5;3;2;9;3;7;1;1;3;0;1;62;;3;981 - Pont Tabarly vers Nord;2025-10-29;Vacances de la Toussaint
988;2025-10-29;5;2;0;2;0;2;19;81;237;100;25;26;37;41;19;20;32;76;128;74;42;12;13;10;1003;;3;988 - Kennedy vers Est;2025-10-29;Vacances de la Toussaint
785;2025-10-29;17;15;3;5;7;9;40;119;450;214;90;104;122;150;93;58;103;178;234;200;92;50;46;46;2445;;3;785 - 50 Otages Vers Sud;2025-10-29;Vacances de la Toussaint
674;2025-10-29;13;4;4;3;1;0;5;37;133;81;37;21;59;57;31;27;53;72;125;80;36;26;18;16;939;;3;674 - Pont Haudaudine vers Sud;2025-10-29;Vacances de la Toussaint
669;2025-10-29;4;1;0;0;2;8;20;79;190;93;15;25;28;18;14;12;20;45;46;35;17;14;7;7;700;;3;669 - De Gaulle sortie Clémenceau vers Nord;2025-10-29;Vacances de la Toussaint
679;2025-10-29;0;0;0;0;0;0;1;1;9;5;5;2;5;9;1;3;3;4;10;5;3;1;1;2;70;;3;679 - Bd Malakoff vers Gare Sud;2025-10-29;Vacances de la Toussaint
683;2025-10-29;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;3;683 - pont Anne de Bretagne vers Nord;2025-10-29;Vacances de la Toussaint
670;2025-10-29;3;1;4;0;2;4;9;20;22;7;9;7;13;11;4;4;8;19;27;12;6;5;4;6;207;;3;670 - Pont de Pirmil vers Sud;2025-10-29;Vacances de la Toussaint
676;2025-10-29;6;1;2;2;3;2;9;32;109;50;15;15;38;30;13;14;22;87;87;40;25;7;16;11;636;;3;676 - Pont Willy Brandt vers Beaulieu;2025-10-29;Vacances de la Toussaint
944;2025-10-29;0;0;0;0;0;0;2;13;29;13;9;6;8;3;9;4;9;18;28;10;4;4;0;4;173;;3;944 - Magellan vers Est;2025-10-29;Vacances de la Toussaint
959;2025-10-29;0;1;2;0;2;3;5;17;16;14;4;7;6;6;2;2;2;9;9;0;3;0;0;1;111;;3;959 - Sorinières Vers Sud;2025-10-29;Vacances de la Toussaint
989;2025-10-29;8;3;2;1;3;7;37;93;81;36;31;42;69;52;32;36;78;171;211;86;41;32;22;39;1213;;3;989 - Kennedy vers Ouest;2025-10-29;Vacances de la Toussaint
673;2025-10-29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;3;673 - Pont de Pornic vers Sud;2025-10-29;Vacances de la Toussaint
744;2025-10-29;5;2;1;2;1;0;4;30;61;46;34;33;52;50;18;30;27;54;69;56;34;10;17;7;643;;3;744 - Calvaire vers Est;2025-10-29;Vacances de la Toussaint
948;2025-10-29;1;0;0;0;0;0;4;11;28;25;11;3;14;11;6;3;11;32;49;8;4;3;4;3;231;;3;948 - Bd Malakoff vers Est;2025-10-29;Vacances de la Toussaint
665;2025-10-29;5;1;0;0;2;6;18;61;123;73;19;21;37;29;11;18;34;85;83;52;28;13;13;9;741;;3;665 - Bonduelle vers Nord;2025-10-29;Vacances de la Toussaint
677;2025-10-29;2;0;0;0;0;2;8;32;98;49;18;11;32;28;7;5;15;55;70;22;17;6;9;4;490;;3;677 - Pont Willy Brandt vers Malakoff;2025-10-29;Vacances de la Toussaint
673;2025-10-29;5;2;2;1;3;2;7;46;76;33;17;19;39;23;14;14;40;122;123;54;30;16;16;22;726;;3;673 - Pont de Pornic vers Sud;2025-10-29;Vacances de la Toussaint
742;2025-10-29;8;1;1;0;1;3;27;82;187;85;41;32;66;51;32;39;54;143;195;88;32;30;23;62;1283;;3;742 - Philippot vers Est;2025-10-29;Vacances de la Toussaint
743;2025-10-29;8;3;0;3;1;1;8;53;207;107;36;33;57;68;31;19;55;98;178;85;51;27;23;18;1170;;3;743 - Philippot vers ouest;2025-10-29;Vacances de la Toussaint
745;2025-10-29;1;1;0;0;0;2;1;1;4;12;2;5;7;6;6;5;11;9;17;7;3;1;2;3;106;;3;745 - Calvaire vers Ouest;2025-10-29;Vacances de la Toussaint
747;2025-10-29;5;3;1;0;0;0;5;34;85;48;19;14;12;11;14;12;21;45;75;43;13;6;5;8;479;;3;747 - Chemin de halage Tortière vers Nord;2025-10-29;Vacances de la Toussaint
787;2025-10-29;12;7;1;1;5;5;27;82;331;180;79;77;99;87;46;32;72;99;173;165;54;20;25;30;1709;;3;787 - 50 Otages Vers Sud;2025-10-29;Vacances de la Toussaint
943;2025-10-29;0;0;0;0;0;0;0;3;8;4;2;6;2;5;1;1;1;9;16;7;7;1;0;1;74;;3;943 - Magellan vers Ouest;2025-10-29;Vacances de la Toussaint
946;2025-10-29;4;1;1;0;1;2;11;36;131;62;35;25;54;39;25;20;33;77;82;54;19;10;10;22;754;;3;946 - Magellan vers Est;2025-10-29;Vacances de la Toussaint
987;2025-10-29;0;0;0;0;1;1;0;6;30;7;4;14;17;14;13;6;9;19;33;20;7;3;9;6;219;;3;987 - Tremie vers Est;2025-10-29;Vacances de la Toussaint
727;2025-10-29;1;0;1;1;2;7;10;40;76;34;9;12;27;14;11;11;17;44;49;23;8;5;11;4;417;;3;727 - Pont Tabarly vers Nord;2025-10-29;Vacances de la Toussaint
672;2025-10-29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;3;672 - Pont de Pornic vers Nord;2025-10-29;Vacances de la Toussaint
673;2025-10-29;4;2;1;0;2;3;6;45;73;30;17;16;43;27;12;13;36;84;116;48;21;10;17;19;645;;3;673 - Pont de Pornic vers Sud;2025-10-29;Vacances de la Toussaint
667;2025-10-29;6;5;2;2;3;13;42;107;329;182;91;88;127;100;85;56;89;215;223;122;66;39;33;39;2064;;3;667 - Entrée pont Audibert vers Nord;2025-10-29;Vacances de la Toussaint
680;2025-10-29;6;16;6;7;2;7;13;42;120;60;45;38;64;51;33;22;34;77;78;50;29;18;22;15;855;;3;680 - Stalingrad vers ouest;2025-10-29;Vacances de la Toussaint
746;2025-10-29;1;0;0;0;0;1;6;36;88;41;26;15;24;21;11;13;18;59;64;27;5;3;1;2;462;;3;746 - Chemin de halage Tortière vers Sud;2025-10-29;Vacances de la Toussaint
880;2025-10-29;18;13;7;1;5;9;22;69;213;101;48;53;69;82;54;44;82;128;144;90;63;39;38;41;1433;;3;880 - Madeleine vers Nord;2025-10-29;Vacances de la Toussaint
890;2025-10-29;17;11;5;6;6;22;44;123;346;187;84;90;123;120;78;71;111;243;278;217;91;60;60;66;2459;;3;890 - Pont de Pirmil vers Sud;2025-10-29;Vacances de la Toussaint
949;2025-10-29;2;1;0;0;0;1;1;13;15;27;10;14;17;9;4;11;11;39;34;15;7;6;3;13;253;;3;949 - avenue de la Libération vers Sud;2025-10-29;Vacances de la Toussaint
979;2025-10-29;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;3;979 - pont des 3 Continents vers Sud;2025-10-29;Vacances de la Toussaint
986;2025-10-29;1;1;0;0;0;1;3;9;60;24;13;15;21;13;6;10;11;29;21;14;10;5;1;2;270;;3;986 - Tremie vers Ouest;2025-10-29;Vacances de la Toussaint
994;2025-10-29;6;4;0;0;0;2;5;15;54;23;18;23;24;31;18;17;25;74;113;59;22;15;14;28;590;;3;994 - Ceineray vers Est;2025-10-29;Vacances de la Toussaint
995;2025-10-29;1;3;2;0;1;3;9;44;207;105;26;34;46;28;25;17;39;65;81;60;22;6;17;8;849;;3;995 - Ceineray vers Ouest;2025-10-29;Vacances de la Toussaint
725;2025-10-29;1;1;1;0;2;0;9;25;77;28;11;14;29;28;13;6;23;67;49;33;23;9;4;10;463;;3;725 - Pont Tabarly vers Sud;2025-10-29;Vacances de la Toussaint
997;2025-10-29;1;0;0;0;0;1;6;31;109;43;23;17;27;13;14;12;17;48;47;31;9;4;2;5;460;;3;997 - Van Iseghem vers Sud;2025-10-29;Vacances de la Toussaint
666;2025-10-29;0;6;0;0;0;0;2;3;18;12;8;1;8;3;4;11;14;25;19;16;13;5;2;4;174;;3;666 - Pont Audibert vers Sud;2025-10-29;Vacances de la Toussaint
